baseline_label,calibrated_label,task_count
NEGATIVE,NEGATIVE,12
NEGATIVE,WEAK,0
NEGATIVE,INCONCLUSIVE,0
NEGATIVE,MODERATE,0
NEGATIVE,STRONG,0
WEAK,NEGATIVE,0
WEAK,WEAK,2
WEAK,INCONCLUSIVE,0
WEAK,MODERATE,0
WEAK,STRONG,0
INCONCLUSIVE,NEGATIVE,0
INCONCLUSIVE,WEAK,0
INCONCLUSIVE,INCONCLUSIVE,3
INCONCLUSIVE,MODERATE,0
INCONCLUSIVE,STRONG,0
MODERATE,NEGATIVE,0
MODERATE,WEAK,0
MODERATE,INCONCLUSIVE,0
MODERATE,MODERATE,10
MODERATE,STRONG,0
STRONG,NEGATIVE,0
STRONG,WEAK,0
STRONG,INCONCLUSIVE,0
STRONG,MODERATE,0
STRONG,STRONG,3
